Day;Hour;Secular_Holiday;Religious_holiday;Sports;TV_Media;Weather_transport;AirTempMLM;AirTempSTHLM;precipitationMLM;precipitationSTHLM;RainMLM2;RainSTHLM2;D_precipitationMLM;D_precipitationSTHLM;D_AirTempMLM;D_AirTempSTHLM;D_precipitationMLM2;D_precipitationSTHLM2;D_AirTempMLM2;D_AirTempSTHLM2;MY;StandSize;AirTempMLM2;AirTempSTHLM2
5;0;0;0;0;0;0;16;14.1;0;0;0;0;0;0;-.1999999999999993;-.0999999999999996;0;0;.0399999999999997;.0099999999999999;201607;-1.5324142;256;198.81
6;0;0;0;0;0;0;14.8;13.8;0;0;0;0;0;0;-.2999999999999989;-.2999999999999989;0;0;.0899999999999994;.0899999999999994;201607;-1.4003904;219.03999;190.44
7;0;0;0;0;0;0;15.2;15.4;0;0;0;0;0;0;-.9000000000000021;-.1999999999999993;0;0;.8100000000000038;.0399999999999997;201607;-1.3365446;231.03999;237.16
1;0;0;0;0;0;0;14.8;13.7;0;0;0;0;0;0;-.2999999999999989;-.5;0;0;.0899999999999994;.25;201607;-1.566696;219.03999;187.69
2;0;0;0;0;0;0;14.7;11.8;0;0;0;0;0;0;0;-.3999999999999986;0;0;0;.1599999999999989;201607;-1.6653994;216.09;139.24001
3;0;0;0;0;0;0;14.6;13.2;0;0;0;0;0;0;.7999999999999989;-.4000000000000004;0;0;.6399999999999984;.1600000000000003;201607;-1.5813642;213.16;174.24001
4;0;0;0;0;0;0;15.7;12.9;0;0;0;0;0;0;-.2000000000000011;-.2999999999999989;0;0;.0400000000000004;.0899999999999994;201607;-1.5439212;246.49001;166.41
5;0;0;0;0;0;0;12.8;17.2;0;0;0;0;0;0;-.1999999999999993;-.1999999999999993;0;0;.0399999999999997;.0399999999999997;201607;-1.5440578;163.84;295.84
6;0;0;0;0;0;0;15.8;14.7;0;0;0;0;0;0;-.0999999999999996;-.2000000000000011;0;0;.0099999999999999;.0400000000000004;201607;-1.4152149;249.64;216.09
7;0;0;0;0;0;0;16.1;15.9;0;0;0;0;0;0;-.6999999999999993;.0999999999999996;0;0;.489999999999999;.0099999999999999;201607;-1.3611333;259.20999;252.81
1;0;0;0;0;0;0;15.6;17.6;0;0;0;0;0;0;-.4000000000000004;-.0999999999999979;0;0;.1600000000000003;.0099999999999996;201607;-1.5473031;243.36;309.76001
2;0;0;0;0;0;0;17.6;17.2;0;0;0;0;0;0;-.1999999999999993;.1999999999999993;0;0;.0399999999999997;.0399999999999997;201607;-1.5191252;309.76001;295.84
3;0;0;0;0;0;0;12.8;16.8;0;0;0;0;0;0;-.6999999999999993;-.5;0;0;.489999999999999;.25;201607;-1.5052842;163.84;282.23999
4;0;0;0;0;0;0;18.2;16.7;0;0;0;0;0;0;.0999999999999979;.3999999999999986;0;0;.0099999999999996;.1599999999999989;201607;-1.4879746;331.23999;278.89001
5;0;0;0;0;0;0;12;16.3;0;0;0;0;0;0;0;-.5999999999999979;0;0;0;.3599999999999974;201607;-1.5020318;144;265.69
6;0;0;0;0;0;0;18.3;16.8;0;0;0;0;0;0;.3000000000000007;-.3000000000000007;0;0;.0900000000000004;.0900000000000004;201607;-1.3988587;334.89001;282.23999
7;0;0;0;0;0;0;15.5;16;0;0;0;0;0;0;-.6999999999999993;.4000000000000004;0;0;.489999999999999;.1600000000000003;201607;-1.2823069;240.25;256
1;0;0;0;0;0;0;14.6;14.8;0;0;0;0;0;0;-.2000000000000011;0;0;0;.0400000000000004;0;201608;-1.544356;213.16;219.03999
2;0;0;0;0;0;0;15.2;14.4;0;0;0;0;0;0;-.3000000000000007;-.7999999999999989;0;0;.0900000000000004;.6399999999999984;201608;-1.492065;231.03999;207.36
3;0;0;0;0;0;0;10.5;13.6;0;0;0;0;0;0;-.1999999999999993;-.7000000000000011;0;0;.0399999999999997;.4900000000000015;201608;-1.5221858;110.25;184.96001
4;0;0;0;0;0;0;16.7;16.8;0;.2;0;.04;0;.1;-.4000000000000021;.5;0;.01;.1600000000000017;.25;201608;-1.4534229;278.89001;282.23999
5;0;0;0;0;0;0;16.2;14.9;0;0;0;0;0;0;-.6999999999999993;-.1999999999999993;0;0;.489999999999999;.0399999999999997;201608;-1.4725841;262.44;222.00999
6;0;0;0;0;0;0;16.9;15.9;0;0;0;0;0;0;-.6000000000000014;-.2000000000000011;0;0;.3600000000000017;.0400000000000004;201608;-1.3002895;285.60999;252.81
7;0;0;0;0;0;0;14.1;15;0;0;0;0;0;0;-.3000000000000007;-.1999999999999993;0;0;.0900000000000004;.0399999999999997;201608;-1.2553158;198.81;225
